,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.9155210167169571,0.6454,8.279997110366821,8.959638595581055,0.01,1000,True
1,1,2,0.5207190041740736,0.7968833333333334,10.52635645866394,19.543457984924316,0.01,1000,True
2,1,3,0.43744004716475804,0.8365166666666667,11.112997055053711,30.715182065963745,0.01,1000,True
3,1,4,0.376751941939195,0.8613833333333333,10.816095352172852,41.59401512145996,0.01,1000,True
4,1,5,0.34105468293031055,0.8738,9.930272817611694,51.57979226112366,0.01,1000,True
5,2,1,0.9649850269158681,0.6247,9.594634056091309,10.20814847946167,0.01,1000,False
6,2,2,0.5271472632884979,0.7964,9.61576223373413,19.880468606948853,0.01,1000,False
7,2,3,0.43859374076128005,0.8397333333333333,13.0369131565094,32.97001814842224,0.01,1000,False
8,2,4,0.385451495150725,0.8582166666666666,12.512147665023804,45.54754424095154,0.01,1000,False
9,2,5,0.34543351183334986,0.87235,9.931485414505005,55.54440236091614,0.01,1000,False
10,3,1,1.3052174250284831,0.5168333333333334,8.709829330444336,9.794044494628906,0.01,2000,True
11,3,2,0.662256395816803,0.7446166666666667,9.04450535774231,18.897770166397095,0.01,2000,True
12,3,3,0.5363732745250066,0.7917666666666666,8.628207206726074,27.585327863693237,0.01,2000,True
13,3,4,0.4728172361850739,0.8236666666666667,8.895454406738281,36.53937268257141,0.01,2000,True
14,3,5,0.4204980214436849,0.8456666666666667,8.67435622215271,45.27238130569458,0.01,2000,True
15,4,1,1.3990779976050058,0.45976666666666666,8.862190008163452,9.946954250335693,0.01,2000,False
16,4,2,0.7405510663986206,0.7117,8.676468849182129,18.681425094604492,0.01,2000,False
17,4,3,0.5730762322743733,0.7711166666666667,8.60348129272461,27.346649169921875,0.01,2000,False
18,4,4,0.489277712504069,0.8113833333333333,8.714784622192383,36.121840953826904,0.01,2000,False
19,4,5,0.43730668822924296,0.8385333333333334,8.74376106262207,44.92678356170654,0.01,2000,False
